calle,comuna,altura_inicial,altura_final
GUILLERMO HUDSON,8,4102,4201
GUIPUZCOA,9,902,1001
GUISE,14,0,2001
GURRUCHAGA,14,1202,2501
GURRUCHAGA,15,2,1201
GUSTAVO REARTE,12,0,1
GUSTAVO RICCIO,7,102,201
GUTENBERG,11,0,4301
GUTENBERG,15,0,3301
GUZMAN,15,2,401
HABANA,11,0,4901
HABANA,12,2102,3301
HAITI,10,3902,4201
HAMBURGO,15,2802,3401
HAWAI,11,3002,3101
HELGUERA,7,2,901
HELGUERA,11,0,3491
HELGUERA,12,0,5801
HELGUERA,15,0,4101
HEREDIA,15,0,1801
HERMINIO MASANTONIO,4,2902,3101
HERNANDARIAS,4,0,2101
HERRERA,4,0,2601
HIDALGO,6,2,1101
HIDALGO,15,1202,1801
HILARIO DE ALMEIRA,10,4752,5101
HINOJO,10,4702,4801
HIPOLITO YRIGOYEN,1,502,1501
HIPOLITO YRIGOYEN,3,1802,3281
HIROSHIMA,13,2376,2401
HOLMBERG,12,0,4851
HOLMBERG,15,0,1801
HOMERO,9,0,2501
HOMERO,10,102,601
HOMERO MANZI,4,2902,3101
HONDURAS,14,4202,6101
HORACIO QUIROGA,13,1902,2001
HORTIGUERA,6,2,601
HORTIGUERA,7,0,2001
HUALFIN,6,702,1201
HUARI,1,602,701
HUAURA,15,0,1501
HUBAC,8,0,7101
HUBAC,9,4602,5001
HUDSON,8,0,4701
HUEMUL,1,0,1151
HUERGO,14,0,401
HUGO DEL CARRIL,7,0,1
HUMAHUACA,3,3302,3401
HUMAHUACA,5,3402,4701
HUMAITA,9,6602,7301
HUMBERTO 1Â°,1,2,1801
HUMBERTO 1Â°,3,1802,3301
HUMBERTO 1Â°,5,3302,3601
HUMBERTO SELVETTI,8,0,4601
HUMBOLDT,14,0,2501
HUMBOLDT,15,0,1301
HUNGRIA,10,902,1301
HUSARES,13,1802,2501
IBARROLA,9,0,7301
IBAÃEZ,8,7302,7501
IBERA,12,0,6201
IBERA,13,0,3101
ICALMA,4,2002,2101
IGNACIO F. RODRIGUEZ,7,2402,2501
IGUALDAD,7,1102,1301
IGUAZU,4,0,2071
INCA,5,3802,3901
INCLAN,4,2302,3301
INCLAN,5,3302,4401
INDALECIO GOMEZ,4,2402,2601
INDIO,11,2502,2601
ING. AGUSTIN GONZALEZ,11,2202,2301
ING. E. BUTTY,1,0,301
ING. ENRIQUE HERMITTE,8,5402,5501
ING. JOSE ESTEVEZ,8,0,2451
ING. JULIO KRAUSE,8,5402,5501
ING.CARLOS ECHAGUE,4,1202,1401
INT. BUNGE,14,0,1
INT. CANTILO,13,0,1
INT. CARLOS NOEL,9,402,701
INT. GUIRALDES,13,0,3001
INT. PINEDO,14,0,1
IRALA,4,2,2101
IRIGOYEN,0,152,401
IRIGOYEN,10,0,2601
IRLANDA,13,1702,1801
ISABEL LA CATOLICA,4,2,2401
ISIDORO DEMARIA,6,802,1001
ISLA DE PASCUA,1,2202,2801
ISLANDIA,12,5402,5601
ISLAS GALAPAGOS,1,0,3001
ITALIA,7,402,501
ITAQUI,4,1752,2201
ITAQUI,8,2202,7001
ITURRI,15,0,1601
ITUZAINGO,4,502,1201
ITUZAINGO - PUENTE JORGE L. BORGES,0,0,1
J.F.BATEMAN,11,2902,3101
JACARANDA,10,1302,1601
JACHAL,11,3502,3551
JACINTO VERDAGUER,4,3502,3601
JACOBO ADRIAN VARELA,8,3202,3301
JARAMILLO,12,0,5001
JARAMILLO,13,1502,2401
JARILLA,1,2202,2301
JAZMIN DEL PARAGUAY,1,2852,2901
JEAN JAURES,2,1002,1201
JEAN JAURES,3,2,1001
JEANETTE CAMPBELL,8,0,4601
JERONIMO SALGUERO,0,0,3901
JERONIMO SALGUERO,2,0,1
JERONIMO SALGUERO,5,2,1101
JERONIMO SALGUERO,14,0,3351
JOAQUIN CASTELLANOS,12,4702,5101
JOAQUIN GOMEZ SOMAVILLA,7,2002,2101
JOAQUIN V. GONZALEZ,0,802,2601
JOAQUIN V. GONZALEZ,10,0,801
JOAQUIN V. GONZALEZ,11,0,5101
JOHN FITZGERALD KENNEDY,14,2802,3201
JOHN W. COOKE,8,0,3301
JORGE,4,2102,2401
JORGE BERMUDEZ,9,1602,1701
JORGE CAFRUNE,12,0,1
JORGE CHAVEZ,9,0,7301
JORGE DI PASCUALE,12,0,1
JORGE LUIS BORGES,14,0,2501
JORGE NEWBERY,0,2402,2661
JORGE NEWBERY,13,0,3401
JORGE NEWBERY,14,1502,2801
JOSE A. CABRERA,2,2842,3501
JOSE A. CABRERA,14,3502,6101
JOSE A. CORTEJARENA,4,0,3601
JOSE A. TERRY,6,202,401
JOSE AARON SALMUN FEIJOO,4,0,1301
JOSE ANDRES PACHECO DE MELO,2,1802,3101
JOSE ANDRES PACHECO DE MELO,14,3102,3201
JOSE BARROS PAZOS,4,1602,1901
JOSE BARROS PAZOS,7,1902,2101
JOSE BARROS PAZOS,8,0,7001
JOSE BONIFACIO,6,2,1701
JOSE BONIFACIO,7,1702,3201
JOSE BONIFACIO,9,3802,4301
JOSE BONIFACIO,10,3202,3801
JOSE BORCHES,13,1002,1071
JOSE C. PAZ,4,2902,3701
JOSE CELEDONIO BALBIN,4,0,1
JOSE CUBAS,11,0,4901
JOSE CUBAS,12,2102,3301
JOSE DE LA QUINTANA,12,4402,4501
JOSE DE MATURANA,10,4702,5101
JOSE DE PAULA Y RODRIGUEZ ALVES,9,602,1101
JOSE E. CARBALLIDO,9,6302,6401
JOSE E. RODO,9,0,7501
JOSE GOLA,12,0,1
JOSE HERNANDEZ,13,0,2851
JOSE IGNACIO RUCCI,8,0,4701
JOSE INGENIEROS,11,2602,3001
JOSE J. PODESTA,10,2902,3001
JOSE JUAN BIEDMA,6,2,1101
JOSE JULIAN PEREZ,5,502,701
JOSE LEON CABEZON,11,3302,4001
JOSE LEON CABEZON,12,2202,3301
JOSE LEON PAGANO,2,2602,2701
JOSE LEON PAGANO,14,2702,2801
JOSE LEON SUAREZ,8,3302,6001
JOSE LEON SUAREZ,9,0,3301
JOSE LUIS CANTILO,10,5302,5701
JOSE LUIS CANTILO,11,4102,5301
JOSE MARIA CALAZA,9,1402,1601
JOSE MARIA SAGASTA ISLA,13,2052,2101
JOSE MARMOL,5,2,2201
JOSE MARTI,7,0,1901
JOSE MARTI,8,0,3501
JOSE P.T.BATLLE Y ORDOÃEZ,8,0,6901
JOSE PASCUAL TAMBORINI,12,0,6201
JOSE PASCUAL TAMBORINI,13,2502,3101
JOSE PAZOS,4,2502,2601
JOSE PEDRO VARAS,12,3202,3301
JOSE PEDRO VARELA,10,5302,6101
JOSE PEDRO VARELA,11,0,5301
JOSE PENELON,12,0,1
JOSE PIO MUJICA,4,2302,2901
JOSE R.BALTORE,9,6902,7001
JOSE VERDI,10,1702,1901
JUAN A. BUSCHIAZZO,14,3002,3101
JUAN A.BIBILONI,2,2801,2900
JUAN A.BOERI,10,1102,1201
JUAN AGUSTIN GARCIA,10,3902,6001
JUAN AGUSTIN GARCIA,11,1602,3901
JUAN AGUSTIN GARCIA,15,1002,1601
JUAN B. PRIMOLI,9,7402,7501
JUAN B.AMBROSETTI,6,0,1001
JUAN BAUTISTA JANTIN,5,1902,2201
JUAN CARLOS GOMEZ,4,2,301
JUAN CHASSAING,15,2,101
JUAN CYMES,8,3102,3301
JUAN DARQUIER,4,902,1001
JUAN DE CASTRO,7,1402,1601
JUAN DE DIOS FILIBERTO,4,902,1101
JUAN DE SOLORZANO PEREIRA,11,2702,2801
JUAN DEL CASTILLO,7,1302,1391
JUAN ESTEBAN MARTINEZ,10,2002,2401
JUAN F.DE LA ROBLA,7,902,1001
JUAN FRANCISCO OLMOS,10,2,301
JUAN FRANCISCO SEGUI,14,3502,4751
JUAN J. ROUSSEAU,15,2002,2101
JUAN JOSE NAON,7,602,1001
JUAN LEON PALLIERE,9,1302,1501
JUAN M. COGHLAN,11,4502,4801
JUAN M. THOME,4,3502,3601
JUAN MANUEL BLANES,4,0,601
JUAN MANUEL FANGIO,4,3002,3401
JUAN MARIA GUTIERREZ,2,2502,2801
JUAN MARIA GUTIERREZ,14,3702,4001
JUAN MORA FERNANDEZ,14,2902,3001
JUAN P. CALOU,8,5202,5501
JUAN PABLO DUARTE,12,4702,5201
JUAN PABLO II,8,0,1
JUAN PABLO LOPEZ,11,3302,3701
JUAN PABLO SAENZ VALIENTE,13,602,1201
JUAN RAMIREZ DE VELASCO,15,0,1601
JUAN SEBASTIAN BACH,12,4302,4501
JUAN VUCETICH,9,402,601
JUAN XXIII,7,2102,2201
JUANA AZURDUY,12,3102,3701
JUANA AZURDUY,13,1502,3101
JUANA DE ARCO,4,2502,2601
JUANA DE IBARBOUROU,6,0,1101
JUANA MANSO,1,0,1901
JUANA MANUELA GORRITI,1,0,2201
JUANA MARÃA DE LARA,8,0,4701
JUANA MORO,8,4602,5151
JUEZ ESTRADA,14,2702,2901
JUEZ MAGNAUD,4,0,1501
JUEZ TEDIN,14,2702,3201
JUFRE,15,2,1201
JULIAN AGUIRRE,9,1402,1501
JULIAN ALVAREZ,14,0,2901
JULIAN ALVAREZ,15,0,1101
JULIETA LANTERI,1,0,1901
JULIO ARGENTINO NOBLE,14,3702,4101
JULIO CORTAZAR,15,0,3701
JULIO S. DANTAS,11,3202,3401
JULIO TROXLER,8,0,3301
JULIO VICTOR GONZALEZ,2,2801,2900
JUNCAL,1,602,1401
JUNCAL,2,0,3101
JUNCAL,14,3102,4701
JUNIN,2,802,2001
JUNIN,3,2,801
JURAMENTO,12,3802,5901
JURAMENTO,13,602,3801
JUSTO ANTONIO SUAREZ,9,6502,7501
KING,5,302,401
KOLLAS,1,2102,2477
LA ARBOLEDA,8,6102,6301
LA BLANQUEADA,11,5102,5401
LA CACHILA,13,8502,8701
LA CALANDRIA,11,2102,2301
LA CAPITAL,7,1102,1201
LA CAUTIVA,9,302,701
LA COMUNA,11,3102,3201
LA CONQUISTA,10,1002,1101
LA CONSTANCIA,4,2502,2701
LA CORDILLERA,9,1102,1301
LA DILIGENCIA,10,6202,6301
LA ESPIGA,11,2702,2801
LA FACULTAD,9,0,1901
LA FONTAINE,9,5102,5201
LA FRONDA,11,1502,1701
LA GALERA,7,1702,1801
LA GLORIA,12,1902,2001
LA HAYA,15,3702,4101
LA HUELLA,10,6202,6301
LA HUERTA,9,6802,7001
LA KANTUTA,8,4202,4251
LA LOMA,4,0,1
LA MADRESELVA,9,6802,7001
LA MAR,6,102,201
LA MAREA,11,1602,1701
LA MESOPOTAMIA,8,4102,4201
LA NAVE,6,902,1101
LA NIÃA,10,1602,1701
LA PAMPA,0,0,6001
LA PAMPA,13,0,3701
LA PINTA,10,1602,1701
LA PORTEÃA,7,2,101
LA QUENA,9,0,2001
LA RIOJA,3,0,1601
LA RIOJA,4,1602,2201
LA SANTA MARIA,10,1602,1701
LA SELVA,10,4002,4101
LA TRILLA,4,2102,2401
LACARRA,9,402,701
LACARRA,10,0,401
LADINES,11,0,4151
LADINES,12,2202,3301
LAFAYETTE,4,502,2001
LAFINUR,14,0,3401
LAFUENTE,7,2,701
LAFUENTE,8,0,3401
LAGOS,4,2902,3001
LAGRANGE,10,1202,1301
LAGUNA,8,2302,3261
LAGUNA,9,0,1601
LAMBARE,5,802,1301
LANCHEROS DEL PLATA,4,4452,4501
LANIN,4,2,201
LANUS,7,3002,3201
LANZA,4,0,2601
LAPACHO,11,2202,2301
LAPACHO ROSADO,1,2302,2401
LAPLACE,11,3202,3401
LAPRIDA,2,902,2201
LARRAYA,8,0,4501
LARRAYA,9,0,2601
LARRAZABAL,8,0,4501
LARRAZABAL,9,0,2601
LARREA,2,802,1601
LARREA,3,2,801
LARSEN,11,3302,3401
LARSEN,12,2302,3301
LAS ACACIAS,10,1302,1601
LAS BASES,9,102,701
LAS CARACOLAS,7,1902,2301
LAS CASAS,5,3402,4201
LAS COLONIAS,10,2102,2301
LAS FLORES,15,2,101
LAS INDIAS,15,1002,1101
LAS PALMAS,4,2402,3051
LAS PROVINCIAS,11,3002,3201
LAS TUNAS,9,11102,11201
LASCANO,10,0,7001
LASCANO,11,2202,3901
LASCANO,15,0,2201
LAURELES ARGENTINOS,11,5002,5101
LAUSANA,11,3302,3501
LAUTARO,7,0,1801
LAVADERO,4,2102,2201
LAVALLE,1,0,1801
LAVALLE,3,0,3301
LAVALLE,5,0,4101
LAVALLEJA,14,1202,1601
LAVALLEJA,15,2,1201
LAVARDEN,4,0,951
LAVAYSSE B (ex Frag. Benito Correa),4,902,1851
LAVOISIER,12,3002,3601
LEIPZIG,10,4902,5001
LEIVA,15,0,4901
LEON PINELO,9,4702,4901
LEONA VICARIO,8,4302,4401
LEONARDO DA VINCI,10,2002,2401
LEONES,10,1402,1501
LEOPARDI,10,2,551
LEOPOLDO BASAVILBASO,13,902,1001
LEOPOLDO MARECHAL,6,0,1101
LEOPOLDO MARECHAL,15,1102,1401
LERMA,15,2,701
LETONIA,1,0,1
LEZICA,5,3902,4501
LIBERTAD,1,0,1701
LIBERTAD LAMARQUE,4,0,701
LIBRES,5,102,201
LIMA,1,0,2001
LINNEO,15,1802,2201
LISANDRO DE LA TORRE,8,0,5601
LISANDRO DE LA TORRE,9,0,1801
LISBOA,10,0,901
LITUANIA,12,5402,5501
LIVERPOOL,15,2802,3001
LLAVALLOL,11,1502,5601
LLERENA,15,2402,3201
LLORENTE,4,602,701
LOBERIA,10,2,201
LOBOS,10,4302,4401
LOGROÃO,8,5502,5701
LOLA MORA,1,0,601
LOMAS DE ZAMORA,11,2402,2501
LONDRES,15,3902,4401
LOPE DE VEGA,10,0,601
LOS ANDES,11,3102,3201
LOS CEDROS,8,6752,7001
LOS EUCALIPTOS,8,6702,6801
LOS OLMOS,8,4202,4401
LOS PATOS,4,1702,3501
LOS PIRINEOS,11,1302,1401
LOS RECUERDOS,9,302,701
LOS ROBLES,8,6702,7001
LOS TELARES,4,502,601
LOS TERRITORIOS,11,2702,2801
LOS TILOS,8,4302,4351
LOS ÃLAMOS,8,4252,4401
LOYOLA,15,2,1701
LUCERO,5,202,301
LUCHTER (SUR),9,0,7501
LUCIO CORREA MORALES,8,2602,3101
LUGO,4,1102,1201
LUGONES,12,0,5001
LUGONES,15,1402,1801
LUIS A.DE HERRERA,8,3102,3501
LUIS BRAILLE,10,5302,5801
LUIS DELLEPIANE,1,602,701
LUIS GAITAN,9,1402,1501
LUIS GARCIA LAGOS,9,902,1001
LUIS MARIA DRAGO,15,2,501
LUIS VIALE,6,802,1701
LUIS VIALE,11,1702,3401
LUIS VIALE,15,0,801
LUISITO CUTER,8,0,4301
LUJAN,4,2002,3801
LUMA CHEQUEN,1,2402,2501
LUNA,4,2,2301
LUXEMBURGO,9,6902,7001
LUZURIAGA,4,0,2001
LYNCH,4,0,4001
MACACHA GUEMES,1,0,701
MACEDONIO FERNANDEZ,12,5602,6101
MACHAIN,12,0,5001
MACHU PICCHU,1,2102,2801
MADARIAGA,8,6102,7001
MADERO,9,102,401
MADERO,10,402,1301
MADRID,10,6602,7001
MAFALDA,4,802,901
MAGALLANES,4,802,1701
MAGDALENA,11,2402,2501
MAHATMA GANDHI,15,202,801
MAIPU,1,2,1051
MAITEN,6,602,671
MAKA,1,2202,2451
MALABIA,14,1202,2501
MALABIA,15,2,1201
MALAGA,8,5502,5701
MALASIA,14,802,901
MALDONADO,8,5402,5501
MALVINAS ARGENTINAS,6,2,501
MALVINAS ARGENTINAS,7,502,1001
MALVINAS ARGENTINAS / SOMELLERA (NO OFICIAL),7,2002,2281
MANAGUA,8,5402,5501
MANCO CAPAC,7,1196,1701
MANDISOBI,4,2902,3001
MANUEL ALVAREZ PRADO,12,2402,2601
MANUEL ARCE,9,1002,1201
MANUEL DE ARTIGAS,9,0,7201
MANUEL DE SAN GINES,11,1902,2001
MANUEL EGUIA,7,902,1201
MANUEL GALVEZ,4,102,301
MANUEL GARCIA,4,0,501
MANUEL J. SAMPERIO,4,902,1101
MANUEL MONTES DE OCA AV,4,2102,2301
MANUEL OBARRIO,14,2902,3001
MANUEL PADILLA,12,4002,4101
MANUEL PORCEL DE PERALTA,0,302,401
MANUEL PORCEL DE PERALTA,10,0,1501
MANUEL R. TRELLES,7,602,1101
MANUEL R. TRELLES,11,1102,2301
MANUEL R. TRELLES,15,0,1
MANUEL SOLA,11,4402,4801
MANUEL UGARTE,12,3102,3929
MANUEL UGARTE,13,1502,3101
MANUELA GANDARILLAS,8,4602,5001
MANUELA PEDRAZA,12,0,6401
MANUELA PEDRAZA,13,0,3101
MANUELA SAENZ,1,302,601
MANZANARES,12,0,5001
MANZANARES,13,1602,2401
MANZONI,10,2,401
MAPUCHES,1,1276,2201
MAR DEL PLATA,10,902,1101
MAR DULCE,4,302,601
MARACAIBO,8,3252,3351
MARCELINO CHAMPAGNAT,4,0,1
MARCELO GAMBOA,10,6102,7001
MARCELO T.DE ALVEAR,1,0,1401
MARCELO T.DE ALVEAR,2,1402,2501
MARCOS PAZ,10,1502,2701
MARCOS PAZ,11,0,4701
MARCOS SASTRE,10,3902,6401
MARCOS SASTRE,11,2592,3901
MARCOS SEGUIN,4,2502,2601
MARIA ANTONIA DE LA PAZ Y FIGUEROA,10,4502,4601
MARIA CATALINA MARCHI,14,202,301
MARIA ELENA WALSH,1,1052,1301
MARIA LUISA BEMBERG,1,0,1
MARIA LUISA BEMBERG,4,0,1
MARIA PARADO DE BELLIDO,1,0,1801
MARIA R. DEL VALLE,9,3502,3751
MARIA REICHE,8,4352,4401
MARIA TERESA FERRARI,14,5202,5301
MARIANO ACHA,12,0,5001
MARIANO ACHA,15,902,1801
MARIANO ACOSTA,7,0,2401
MARIANO ACOSTA,8,0,3701
MARIANO ACOSTA,9,1422,1601
MARIANO DEMARIA,15,402,501
MARIE LANGER,1,0,1
MARIO BERNASCONI,15,2202,2301
MARIO BRAVO,0,1002,1401
MARIO BRAVO,5,2,1001
MARIQUITA SANCHEZ DE THOMPSON,1,0,401
MARISCAL F. SOLANO LOPEZ,11,0,4001
MARISCAL F. SOLANO LOPEZ,15,2102,3201
MARISCAL RAMON CASTILLA,14,0,3091
MARSELLA,15,2402,2601
MARTA LYNCH,1,302,601
MARTHA SALOTTI,1,0,601
MARTIN A. MALHARRO,12,2502,2701
MARTIN CORONADO,14,3102,3501
MARTIN DE MOUSSY,4,402,501
MARTIN FIERRO,10,5302,5801
MARTIN GRANDOLI,8,5702,6051
MARTIN PESCADOR,11,2102,2401
MARTIN RODRIGUEZ,4,102,1201
MARTINEZ CASTRO,8,2302,3201
MARTINEZ CASTRO,9,0,1601
MARTINEZ CASTRO,10,202,301
MARTINEZ DE HOZ,9,0,7301
MARTINEZ ROSAS,15,902,1501
MARTINIANO BONORINO,12,3002,3201
MARTINIANO LEGUIZAMON,8,0,4701
MARTINIANO LEGUIZAMON,9,2,2001
MARTIRES PALOTINOS,12,3902,4151
MASON,14,4402,4501
MATACO,10,1302,1601
MATANZA,4,2702,3721
MATANZA,7,0,1
MATEO J. MARTINEZ,11,5202,5301
MATHEU,3,2,1601
MATHEU,4,1602,2201
MATORRAS,6,202,401
MATURIN,15,2100,2901
MAURE,13,2402,3501
MAURE,14,1502,2401
MAURE,15,0,4201
MAYOR ARTURO LUISONI,1,0,2601
MAZA,5,2,2301
MBARACAYU,1,0,2701
MBURUCUYA,9,6802,7001
MCAL.ANTONIO JOSE DE SUCRE,12,3802,4801
MCAL.ANTONIO JOSE DE SUCRE,13,602,3801
MEDANOS,11,1502,1601
MEDEYROS,12,3402,3601
MEDINA,9,502,2101
MEDINA,10,0,501
MEDRANO,14,0,2001
MELGAR,4,2,201
MELINCUE,10,0,5601
MELINCUE,11,2458,5301
MELINCUE,15,2402,2457
MEMBRILLAR,7,2,1001
MENDEZ,8,2402,2601
MENDEZ DE ANDES,6,0,1701
MENDEZ DE ANDES,7,1702,2401
MENDOZA,12,3802,5901
MENDOZA,13,0,3801
MENENDEZ Y PELAYO,10,302,401
MERCEDES,10,2,2601
MERCEDES,11,0,5101
MERCEDES SOSA,15,2302,2451
METAN,5,3602,4301
MEXICO,1,0,1801
MEXICO,3,1802,3301
MEXICO,5,3302,4401
MICAELA BASTIDAS,1,802,1301
MIGUEL ANDRES CAMINO,12,3602,3801
MIGUEL ANGEL,15,0,2001
MIGUEL C. VICTORICA,4,102,301
MIGUEL CANE,14,3002,3061
MIGUEL COUTO,10,2602,2701
MIGUEL COUTO,11,2702,2801
MIGUEL DE UNAMUNO,4,1602,1701
MIGUEL NAVARRO VIOLA,7,2402,2501
MIGUEL REYES BARBOSA,8,6202,6301
MIGUEL SKENNON,9,502,601
MIGUELETES,13,1602,2501
MIGUELETES,14,0,1401
MILAN,11,1702,1801
MILLER,12,0,5001
MILTON,10,2,501
MINISTRO BRIN,4,0,1501
MIRAFLORES,7,2002,2301
MIRALLA,8,2502,4401
MIRALLA,9,0,2501
MIRAMAR,10,4002,4401
MIRANDA,10,3902,6201
MIRANDA,11,3602,3901
MIRAVE,4,2702,3701
MIRIÃAY,4,3502,3601
MIRO,6,2,601
MIRO,7,702,1901
MISIONES,3,2,401
MIÃONES,13,1702,2501
MOCHICA,1,1252,1275
MOCORETA,4,0,601
MOCTEZUMA,10,0,1501
MOISES LEBENSOHN,4,902,1101
MOLDES,12,0,4701
MOLDES,13,0,3601
MOLIERE,10,0,3101
MOLINA,9,1102,2001
MOLLE,1,2102,2401
MOM,4,0,3901
MOM,7,2002,2301
MOMPOX,1,1602,1801
MONACO,11,4402,4601
MONASTERIO,4,2,751
MONROE,12,0,5901
MONROE,13,0,3801
MONSEÃOR VICENTE ZAZPE,14,3102,3201
MONTAÃESES,13,1802,3201
MONTE,9,0,7501
MONTE DINERO,7,1502,1601
MONTEAGUDO,4,2,2101
MONTENEGRO,15,0,1701
MONTESQUIEU,4,302,1601
MONTEVIDEO,0,1602,2001
MONTEVIDEO,1,2,801
MONTEVIDEO,2,802,1601
MONTIEL,8,0,6001
MONTIEL,9,0,3301
MONTREAL,8,4902,5401
MORELOS,6,2,801
MORENO,1,0,1801
